"","datetime","well","port","monitoring_location","head_masl"
"1",2024-05-12 12:45:00,"ELR1-R1","01",129.51,370.047180402014
"2",2024-05-12 12:45:00,"ELR1-R1","02",122.78,372.649865527213
"3",2024-05-12 12:45:00,"ELR1-R1","03",116,372.709539392113
"4",2024-05-12 12:45:00,"ELR1-R1","04",108.27,372.149013831027
"5",2024-05-12 12:45:00,"ELR1-R1","05",102.43,372.108192364258
"6",2024-05-12 12:45:00,"ELR1-R1","06",98.13,372.221468983444
"7",2024-05-12 12:45:00,"ELR1-R1","07",93.51,372.255070551721
"8",2024-05-12 12:45:00,"ELR1-R1","08",90.83,372.141621544393
"9",2024-05-12 12:45:00,"ELR1-R1","09",87.38,372.218776605058
"10",2024-05-12 12:45:00,"ELR1-R1","10",82.33,372.096403561495
"11",2024-05-12 12:45:00,"ELR1-R1","11",77.56,372.083298751084
"12",2024-05-12 12:45:00,"ELR1-R1","12",73.37,371.811033713086
"13",2024-05-12 12:45:00,"ELR1-R1","13",69.33,370.828777669959
"14",2024-05-12 12:45:00,"ELR1-R1","14",66.94,370.527092546552
"15",2024-05-12 12:45:00,"ELR1-R1","15",63.18,370.914967607303
"16",2024-05-12 12:45:00,"ELR1-R1","16",61.06,370.740848373678
"17",2024-05-18 18:35:00,"ELR1-R1","01",129.51,368.00897740348
"18",2024-05-18 18:35:00,"ELR1-R1","02",122.78,368.062421872911
"19",2024-05-18 18:35:00,"ELR1-R1","03",116,368.137538579677
"20",2024-05-18 18:35:00,"ELR1-R1","04",108.27,368.707091721276
"21",2024-05-18 18:35:00,"ELR1-R1","05",102.43,368.721163979675
"22",2024-05-18 18:35:00,"ELR1-R1","06",98.13,368.845591461871
"23",2024-05-18 18:35:00,"ELR1-R1","07",93.51,368.876961759682
"24",2024-05-18 18:35:00,"ELR1-R1","08",90.83,368.772710156883
"25",2024-05-18 18:35:00,"ELR1-R1","09",87.38,368.856546376471
"26",2024-05-18 18:35:00,"ELR1-R1","10",82.33,368.826407170005
"27",2024-05-18 18:35:00,"ELR1-R1","11",77.56,369.072681801996
"28",2024-05-18 18:35:00,"ELR1-R1","12",73.37,369.123370141843
"29",2024-05-18 18:35:00,"ELR1-R1","13",69.33,369.264560813361
"30",2024-05-18 18:35:00,"ELR1-R1","14",66.94,369.050660608594
"31",2024-05-18 18:35:00,"ELR1-R1","15",63.18,369.49007495647
"32",2024-05-18 18:35:00,"ELR1-R1","16",61.06,369.637055416452
