"","datetime","well","port","monitoring_location","head_masl"
"1",2024-05-12 12:45:00,"ELR1-R2","01",130.07,368.329311555444
"2",2024-05-12 12:45:00,"ELR1-R2","02",122.76,370.721285876274
"3",2024-05-12 12:45:00,"ELR1-R2","03",113.97,370.739032507799
"4",2024-05-12 12:45:00,"ELR1-R2","04",108.11,370.873426377047
"5",2024-05-12 12:45:00,"ELR1-R2","05",100.37,370.807856560198
"6",2024-05-12 12:45:00,"ELR1-R2","06",93.67,370.952751631261
"7",2024-05-12 12:45:00,"ELR1-R2","07",84.78,369.377084123755
"8",2024-05-12 12:45:00,"ELR1-R2","08",78.53,370.93226402615
"9",2024-05-12 12:45:00,"ELR1-R2","09",75.1,370.932386524307
"10",2024-05-12 12:45:00,"ELR1-R2","10",71.26,370.939052918092
"11",2024-05-12 12:45:00,"ELR1-R2","11",66.56,371.031796599218
"12",2024-05-12 12:45:00,"ELR1-R2","12",60.46,371.034512607082
"13",2024-05-12 12:45:00,"ELR1-R2","13",57.03,371.027717077564
"14",2024-05-12 12:45:00,"ELR1-R2","14",52.56,371.120226434144
"15",2024-05-12 12:45:00,"ELR1-R2","15",49.55,371.188863893636
"16",2024-05-12 12:45:00,"ELR1-R2","16",46.98,371.387572548545
"17",2024-05-12 12:45:00,"ELR1-R2","17",44.87,371.611223739023
"18",2024-05-12 12:45:00,"ELR1-R2","18",42.35,371.815690494751
"19",2024-05-12 12:45:00,"ELR1-R2","19",38.75,371.944652238158
"20",2024-05-12 12:45:00,"ELR1-R2","20",34.71,374.332767193546
"21",2024-05-12 12:45:00,"ELR1-R2","21",31.42,375.019899874222
"22",2024-05-18 18:35:00,"ELR1-R2","01",130.07,366.278045779226
"23",2024-05-18 18:35:00,"ELR1-R2","02",122.76,365.992797628061
"24",2024-05-18 18:35:00,"ELR1-R2","03",113.97,366.038460930234
"25",2024-05-18 18:35:00,"ELR1-R2","04",108.11,366.23799196769
"26",2024-05-18 18:35:00,"ELR1-R2","05",100.37,366.165199664555
"27",2024-05-18 18:35:00,"ELR1-R2","06",93.67,366.317657305657
"28",2024-05-18 18:35:00,"ELR1-R2","07",84.78,364.917431883968
"29",2024-05-18 18:35:00,"ELR1-R2","08",78.53,366.752624015519
"30",2024-05-18 18:35:00,"ELR1-R2","09",75.1,366.942854699462
"31",2024-05-18 18:35:00,"ELR1-R2","10",71.26,367.131701221501
"32",2024-05-18 18:35:00,"ELR1-R2","11",66.56,367.346606842223
"33",2024-05-18 18:35:00,"ELR1-R2","12",60.46,367.673000072476
"34",2024-05-18 18:35:00,"ELR1-R2","13",57.03,367.843413319805
"35",2024-05-18 18:35:00,"ELR1-R2","14",52.56,368.196204660828
"36",2024-05-18 18:35:00,"ELR1-R2","15",49.55,368.274367066663
"37",2024-05-18 18:35:00,"ELR1-R2","16",46.98,368.456358309781
"38",2024-05-18 18:35:00,"ELR1-R2","17",44.87,368.651392704788
"39",2024-05-18 18:35:00,"ELR1-R2","18",42.35,368.843077577573
"40",2024-05-18 18:35:00,"ELR1-R2","19",38.75,368.970510724248
"41",2024-05-18 18:35:00,"ELR1-R2","20",34.71,372.95940841417
"42",2024-05-18 18:35:00,"ELR1-R2","21",31.42,374.345069792335
