,datetime,port,monitoring_location,head_mamsl,,,
1,2024-05-12 8:45,1,129.51,369.8452095,,non pump,"May 12, 2024 @ 8:45"
2,2024-05-12 8:45,2,122.78,372.6595649,,pump,"May 18, 2024 @ 12:25"
3,2024-05-12 8:45,3,116,372.7158084,,,
4,2024-05-12 8:45,4,108.27,372.157684,,,
5,2024-05-12 8:45,5,102.43,372.1179733,,,
6,2024-05-12 8:45,6,98.13,372.2303252,,,
7,2024-05-12 8:45,7,93.51,372.2627134,,,
8,2024-05-12 8:45,8,90.83,372.1510268,,,
9,2024-05-12 8:45,9,87.38,372.2274282,,,
10,2024-05-12 8:45,10,82.33,372.1056452,,,
11,2024-05-12 8:45,11,77.56,372.0931884,,,
12,2024-05-12 8:45,12,73.37,371.8221232,,,
13,2024-05-12 8:45,13,69.33,370.8406753,,,
14,2024-05-12 8:45,14,66.94,370.5387508,,,
15,2024-05-12 8:45,15,63.18,370.9264056,,,
16,2024-05-12 8:45,16,61.06,370.752972,,,
17,2024-05-18 12:25,1,129.51,368.1787821,,,
18,2024-05-18 12:25,2,122.78,368.3950108,,,
19,2024-05-18 12:25,3,116,368.4655137,,,
20,2024-05-18 12:25,4,108.27,369.0053275,,,
21,2024-05-18 12:25,5,102.43,369.0192938,,,
22,2024-05-18 12:25,6,98.13,369.1404368,,,
23,2024-05-18 12:25,7,93.51,369.1751669,,,
24,2024-05-18 12:25,8,90.83,369.0698129,,,
25,2024-05-18 12:25,9,87.38,369.1537177,,,
26,2024-05-18 12:25,10,82.33,369.1187374,,,
27,2024-05-18 12:25,11,77.56,369.3557006,,,
28,2024-05-18 12:25,12,73.37,369.3870636,,,
29,2024-05-18 12:25,13,69.33,369.4525043,,,
30,2024-05-18 12:25,14,66.94,369.2282604,,,
31,2024-05-18 12:25,15,63.18,369.6641307,,,
32,2024-05-18 12:25,16,61.06,369.779839,,,
